ключ,где на сайте,русский,узбекский,исправление
ui.auth.newPasswordLabel,"Формы аккаунта: вход, регистрация, восстановление, выход",Новый пароль,Yangi parol,
ui.auth.currentPasswordLabel,"Формы аккаунта: вход, регистрация, восстановление, выход",Текущий пароль,Joriy parol,
ui.auth.showPassword,"Формы аккаунта: вход, регистрация, восстановление, выход",Показать пароль,Parolni koʻrsatish,
ui.auth.hidePassword,"Формы аккаунта: вход, регистрация, восстановление, выход",Скрыть пароль,Parolni yashirish,
ui.auth.sending,"Формы аккаунта: вход, регистрация, восстановление, выход",Секунду…,Bir soniya…,
ui.auth.register.title,"Формы аккаунта: вход, регистрация, восстановление, выход",Создайте аккаунт,Roʻyxatdan oʻting,
ui.auth.register.subtitle,"Формы аккаунта: вход, регистрация, восстановление, выход","Так полный отчёт всегда будет у вас под рукой. Нужны только логин и пароль — ни имени, ни телефона, ни почты.","Shunda toʻliq hisobot doim qoʻlingizda boʻladi. Faqat login va parol kerak — ism, telefon va pochta soʻralmaydi.",
ui.auth.register.keepResults,"Формы аккаунта: вход, регистрация, восстановление, выход",Ваши ответы и портрет сохранятся в аккаунте.,Javoblaringiz va portretingiz akkauntingizda saqlanib qoladi.,
ui.auth.register.submit,"Формы аккаунта: вход, регистрация, восстановление, выход",Создать аккаунт,Roʻyxatdan oʻtish,
ui.auth.register.terms,"Формы аккаунта: вход, регистрация, восстановление, выход","Создавая аккаунт, вы соглашаетесь с документами:","Roʻyxatdan oʻtib, siz quyidagi hujjatlarga rozilik bildirasiz:",
ui.auth.register.haveAccount,"Формы аккаунта: вход, регистрация, восстановление, выход",Уже есть аккаунт?,Akkauntingiz bormi?,
ui.auth.register.toLogin,"Формы аккаунта: вход, регистрация, восстановление, выход",Войти,Kirish,
ui.auth.register.already,"Формы аккаунта: вход, регистрация, восстановление, выход",Вы уже вошли как {login}.,Siz {login} loginiga kirgansiz.,
ui.auth.code.title,"Формы аккаунта: вход, регистрация, восстановление, выход",Сохраните код восстановления,Tiklash kodini saqlab qoʻying,
ui.auth.code.text,"Формы аккаунта: вход, регистрация, восстановление, выход","Если забудете пароль, вернуть доступ можно только этим кодом: у нас нет вашей почты и телефона. Код показывается один раз.","Parolni unutsangiz, akkauntga faqat shu kod bilan qayta kira olasiz: bizda pochtangiz ham, telefoningiz ham yoʻq. Kod faqat bir marta koʻrsatiladi.",
ui.auth.code.tips,"Формы аккаунта: вход, регистрация, восстановление, выход","Запишите его на бумаге, сфотографируйте или сохраните в заметках телефона.","Uni qogʻozga yozib qoʻying, rasmga oling yoki telefoningizdagi eslatmalarga saqlang.",
ui.auth.code.copy,"Формы аккаунта: вход, регистрация, восстановление, выход",Скопировать,Nusxa olish,
ui.auth.code.copied,"Формы аккаунта: вход, регистрация, восстановление, выход",Скопировано,Nusxa olindi,
ui.auth.code.download,"Формы аккаунта: вход, регистрация, восстановление, выход",Скачать файлом,Fayl qilib yuklab olish,
ui.auth.code.fileTitle,"Формы аккаунта: вход, регистрация, восстановление, выход",yourway.uz — код восстановления,yourway.uz — tiklash kodi,
ui.auth.code.confirm,"Формы аккаунта: вход, регистрация, восстановление, выход",Код сохранён в надёжном месте,Kodni ishonchli joyga saqlab qoʻydim,
ui.auth.code.continue,"Формы аккаунта: вход, регистрация, восстановление, выход",Продолжить,Davom etish,
ui.auth.login.title,"Формы аккаунта: вход, регистрация, восстановление, выход",Вход,Kirish,
ui.auth.login.subtitle,"Формы аккаунта: вход, регистрация, восстановление, выход","Войдите, чтобы вернуться к своему портрету.",Portretingizga qaytish uchun akkauntingizga kiring.,
ui.auth.login.submit,"Формы аккаунта: вход, регистрация, восстановление, выход",Войти,Kirish,
ui.auth.login.forgot,"Формы аккаунта: вход, регистрация, восстановление, выход",Забыли пароль?,Parolni unutdingizmi?,
ui.auth.login.noAccount,"Формы аккаунта: вход, регистрация, восстановление, выход",Нет аккаунта?,Akkauntingiz yoʻqmi?,
ui.auth.login.toRegister,"Формы аккаунта: вход, регистрация, восстановление, выход",Создать аккаунт,Roʻyxatdan oʻtish,
ui.auth.recover.title,"Формы аккаунта: вход, регистрация, восстановление, выход",Восстановление доступа,Akkauntga kirishni tiklash,
ui.auth.recover.subtitle,"Формы аккаунта: вход, регистрация, восстановление, выход","Введите логин и код восстановления, который вы сохранили при регистрации, и придумайте новый пароль.","Loginingizni va roʻyxatdan oʻtishda saqlab qoʻygan tiklash kodini kiriting, keyin yangi parol oʻylab toping.",
ui.auth.recover.codeLabel,"Формы аккаунта: вход, регистрация, восстановление, выход",Код восстановления,Tiklash kodi,
ui.auth.recover.submit,"Формы аккаунта: вход, регистрация, восстановление, выход",Сменить пароль и войти,Parolni almashtirib kirish,
ui.auth.recover.done,"Формы аккаунта: вход, регистрация, восстановление, выход","Пароль изменён, вы вошли в аккаунт. Старый код больше не работает — вот новый.","Parol almashtirildi, siz akkauntingizga kirdingiz. Eski kod endi ishlamaydi — mana yangisi.",
ui.auth.recover.lost,"Формы аккаунта: вход, регистрация, восстановление, выход","Если код потерян, вернуть доступ, к сожалению, нельзя: мы не храним ни почту, ни телефон. Можно создать новый аккаунт и пройти тесты заново — это бесплатно.","Kod yoʻqolgan boʻlsa, afsuski, akkauntni tiklab boʻlmaydi: biz pochta va telefon raqamini saqlamaymiz. Yangi akkaunt ochib, testlardan qaytadan oʻtishingiz mumkin — bu bepul.",
ui.auth.recover.backToLogin,"Формы аккаунта: вход, регистрация, восстановление, выход",Вернуться ко входу,Kirish sahifasiga qaytish,
ui.auth.account.title,"Формы аккаунта: вход, регистрация, восстановление, выход",Ваш аккаунт,Akkauntingiz,
ui.auth.account.loggedInAs,"Формы аккаунта: вход, регистрация, восстановление, выход",Вы вошли как,Siz kirgan login:,
ui.auth.account.toPortrait,"Формы аккаунта: вход, регистрация, восстановление, выход",Мой портрет,Mening portretim,
ui.auth.account.toTests,"Формы аккаунта: вход, регистрация, восстановление, выход",Пройти тесты,Testlardan oʻtish,
ui.auth.account.logout,"Формы аккаунта: вход, регистрация, восстановление, выход",Выйти,Chiqish,
ui.auth.account.logoutNote,"Формы аккаунта: вход, регистрация, восстановление, выход","После выхода ваши ответы и портрет останутся в аккаунте. Чтобы вернуться к ним, просто войдите снова.","Chiqib ketsangiz ham, javoblaringiz va portretingiz akkauntingizda saqlanib qoladi. Ularga qaytish uchun yana kirsangiz boʻldi.",
ui.auth.account.reportsTitle,"Формы аккаунта: вход, регистрация, восстановление, выход",Мои полные отчёты,Toʻliq hisobotlarim,
ui.auth.account.noReports,"Формы аккаунта: вход, регистрация, восстановление, выход",Оплаченных отчётов пока нет.,Hozircha toʻlangan hisobotlar yoʻq.,
ui.auth.account.toCheckout,"Формы аккаунта: вход, регистрация, восстановление, выход",Открыть полный отчёт,Toʻliq hisobotni ochish,
ui.auth.account.reportStatus.pending,"Формы аккаунта: вход, регистрация, восстановление, выход",пишется…,yozilmoqda…,
ui.auth.account.reportStatus.generating,"Формы аккаунта: вход, регистрация, восстановление, выход",пишется…,yozilmoqda…,
ui.auth.account.reportStatus.ready,"Формы аккаунта: вход, регистрация, восстановление, выход",готов,tayyor,
ui.auth.account.reportStatus.failed,"Формы аккаунта: вход, регистрация, восстановление, выход",нужно сгенерировать заново,qaytadan yozish kerak,
ui.auth.account.open,"Формы аккаунта: вход, регистрация, восстановление, выход",Открыть,Ochish,
ui.auth.account.pdf,"Формы аккаунта: вход, регистрация, восстановление, выход",PDF,PDF,
ui.auth.account.retake,"Формы аккаунта: вход, регистрация, восстановление, выход",Пройти тесты заново,Testlardan qaytadan oʻtish,
ui.auth.account.settingsTitle,"Формы аккаунта: вход, регистрация, восстановление, выход",Настройки аккаунта,Akkaunt sozlamalari,
ui.auth.account.changePasswordLink,"Формы аккаунта: вход, регистрация, восстановление, выход",Сменить пароль,Parolni almashtirish,
ui.auth.account.deleteAccountLink,"Формы аккаунта: вход, регистрация, восстановление, выход",Удалить аккаунт,Akkauntni oʻchirish,
ui.auth.password.title,"Формы аккаунта: вход, регистрация, восстановление, выход",Смена пароля,Parolni almashtirish,
ui.auth.password.subtitle,"Формы аккаунта: вход, регистрация, восстановление, выход",Введите текущий пароль и придумайте новый — не короче 8 символов.,Joriy parolingizni kiriting va kamida 8 ta belgidan iborat yangi parol oʻylab toping.,
ui.auth.password.submit,"Формы аккаунта: вход, регистрация, восстановление, выход",Сохранить новый пароль,Yangi parolni saqlash,
ui.auth.password.success,"Формы аккаунта: вход, регистрация, восстановление, выход","Пароль изменён. На других устройствах, где вы входили в аккаунт, теперь нужно войти заново.",Parol almashtirildi. Akkauntingizga kirgan boshqa qurilmalarda endi qaytadan kirishingiz kerak boʻladi.,
ui.auth.password.backToAccount,"Формы аккаунта: вход, регистрация, восстановление, выход",← Назад в аккаунт,← Akkauntga qaytish,
ui.auth.deleteAccount.title,"Формы аккаунта: вход, регистрация, восстановление, выход",Удаление аккаунта,Akkauntni oʻchirish,
ui.auth.deleteAccount.subtitle,"Формы аккаунта: вход, регистрация, восстановление, выход","Аккаунт и все данные удалятся без возможности восстановить: ответы на тесты, портрет и оплаченные отчёты. Это действие нельзя отменить.","Akkaunt va undagi barcha maʼlumotlar butunlay oʻchiriladi: testlarga javoblaringiz, portretingiz va toʻlangan hisobotlar. Bu amalni ortga qaytarib boʻlmaydi.",
ui.auth.deleteAccount.passwordLabel,"Формы аккаунта: вход, регистрация, восстановление, выход","Пароль, чтобы подтвердить",Tasdiqlash uchun parol,
ui.auth.deleteAccount.confirmLabel,"Формы аккаунта: вход, регистрация, восстановление, выход",Понимаю: данные удалятся без возможности восстановить,Tushunaman: maʼlumotlar qaytarib boʻlmaydigan tarzda oʻchiriladi,
ui.auth.deleteAccount.submit,"Формы аккаунта: вход, регистрация, восстановление, выход",Удалить аккаунт навсегда,Akkauntni butunlay oʻchirish,
ui.auth.deleteAccount.backToAccount,"Формы аккаунта: вход, регистрация, восстановление, выход",← Назад в аккаунт,← Akkauntga qaytish,
ui.auth.errors.login_invalid,"Формы аккаунта: вход, регистрация, восстановление, выход","Логин: от 3 до 32 символов — латинские буквы, цифры, точка, «_» или «-». Первый символ — буква или цифра.","Login 3 tadan 32 tagacha belgidan iborat boʻlsin: lotin harflari, raqamlar, nuqta, «_» yoki «-». Birinchi belgi — harf yoki raqam.",
ui.auth.errors.login_taken,"Формы аккаунта: вход, регистрация, восстановление, выход",Этот логин уже занят. Придумайте другой.,Bu login band. Boshqasini oʻylab toping.,
ui.auth.errors.password_short,"Формы аккаунта: вход, регистрация, восстановление, выход",Пароль слишком короткий: нужно не меньше 8 символов.,Parol juda qisqa: kamida 8 ta belgi boʻlishi kerak.,
ui.auth.errors.password_long,"Формы аккаунта: вход, регистрация, восстановление, выход",Пароль слишком длинный: не больше 128 символов.,Parol juda uzun: koʻpi bilan 128 ta belgi.,
ui.auth.errors.password_same_as_login,"Формы аккаунта: вход, регистрация, восстановление, выход",Пароль не должен совпадать с логином.,Parol login bilan bir xil boʻlmasin.,
ui.auth.errors.wrong_credentials,"Формы аккаунта: вход, регистрация, восстановление, выход",Неверный логин или пароль.,Login yoki parol notoʻgʻri.,
ui.auth.errors.wrong_code,"Формы аккаунта: вход, регистрация, восстановление, выход",Неверный логин или код восстановления.,Login yoki tiklash kodi notoʻgʻri.,
ui.auth.errors.wrong_password,"Формы аккаунта: вход, регистрация, восстановление, выход",Неверный пароль.,Parol notoʻgʻri.,
ui.auth.errors.locked,"Формы аккаунта: вход, регистрация, восстановление, выход",Слишком много неудачных попыток. Вход временно закрыт — попробуйте снова через {min} мин.,Urinishlar juda koʻp boʻldi. Kirish vaqtincha yopildi — {min} daqiqadan keyin qayta urinib koʻring.,
ui.auth.errors.register_limit,"Формы аккаунта: вход, регистрация, восстановление, выход",Из вашей сети недавно создали слишком много аккаунтов. Попробуйте снова через {min} мин.,Tarmogʻingizdan yaqinda juda koʻp akkaunt ochildi. {min} daqiqadan keyin qayta urinib koʻring.,
ui.auth.errors.server,"Формы аккаунта: вход, регистрация, восстановление, выход",Что-то пошло не так на нашей стороне. Попробуйте ещё раз.,Biz tomonda nimadir notoʻgʻri ketdi. Yana bir bor urinib koʻring.,
ui.notFound.title,Страница «не найдено» (404),Страница не найдена,Sahifa topilmadi,
ui.notFound.text,Страница «не найдено» (404),"Возможно, ссылка устарела.",Havola eskirgan boʻlishi mumkin.,
mock.teaser.personality_type_label,Тестовый режим ИИ — образец тизера (Приложение Б §9),Исследователь-Творец,Izlanuvchan ijodkor,
mock.teaser.portrait,Тестовый режим ИИ — образец тизера (Приложение Б §9),"Вы сочетаете редкое любопытство с тягой к самовыражению: вам важно понимать, как всё устроено, и делать это по-своему. Вы цените свободу выше стабильности — вам тесно в жёстких рамках.",Siz har narsaning qanday ishlashini tushunishni va keyin uni oʻzingizcha qilishni yaxshi koʻrasiz. Qiziquvchanligingiz va oʻzingizni ifoda etish istagingiz bir-birini toʻldiradi. Erkinlik siz uchun barqarorlikdan muhimroq: qatʼiy qoidalar ichida oʻzingizni siqilgandek his qilasiz.,
mock.teaser.top_strengths.0,Тестовый режим ИИ — образец тизера (Приложение Б §9),Быстро схватываете новое,Yangi narsani tez ilgʻab olasiz,
mock.teaser.top_strengths.1,Тестовый режим ИИ — образец тизера (Приложение Б §9),Мыслите нестандартно,Odatdagidan boshqacha fikrlaysiz,
mock.teaser.top_strengths.2,Тестовый режим ИИ — образец тизера (Приложение Б §9),Учитесь через практику,"Qilib koʻrib, amalda oʻrganasiz",
mock.teaser.fitting_directions.0.title,Тестовый режим ИИ — образец тизера (Приложение Б §9),Продуктовый/UX-дизайн,Mahsulot va interfeys dizayni,
mock.teaser.fitting_directions.0.one_liner,Тестовый режим ИИ — образец тизера (Приложение Б §9),ваша связка творчества и анализа здесь работает напрямую,ijodkorligingiz va tahliliy fikringiz bu yerda birga ishlaydi,
mock.teaser.fitting_directions.1.title,Тестовый режим ИИ — образец тизера (Приложение Б §9),Разработка и no-code,Dasturlash va kod yozmasdan ilova yaratish,
mock.teaser.fitting_directions.1.one_liner,Тестовый режим ИИ — образец тизера (Приложение Б §9),любознательность + практика = быстрый рост,qiziquvchanlik va amaliyot tez oʻsishga olib keladi,
mock.teaser.surprise_hook,Тестовый режим ИИ — образец тизера (Приложение Б §9),"По вашему профилю есть одно направление, о котором вы, скорее всего, не думали — а именно там ваша тяга к свободе может превратиться в самый большой доход. 🔒","Natijalaringizda yana bir yoʻnalish koʻrindi — ehtimol, uni hali oʻylab koʻrmagansiz. Aynan oʻsha yerda erkinlikka intilishingiz eng katta daromadga aylanishi mumkin. 🔒",
mock.teaser.surprise_direction_internal,Тестовый режим ИИ — образец тизера (Приложение Б §9),продуктовое предпринимательство / микро-SaaS,oʻz raqamli mahsulotini yaratish va sotish,
mock.teaser.locked_toc.0,Тестовый режим ИИ — образец тизера (Приложение Б §9),Ваш полный психологический портрет,Toʻliq psixologik portretingiz,
mock.teaser.locked_toc.1,Тестовый режим ИИ — образец тизера (Приложение Б §9),3 маршрута к цели $2000+,Oyiga $2000 dan ortiq daromadga olib boradigan 3 ta yoʻl,
mock.teaser.locked_toc.2,Тестовый режим ИИ — образец тизера (Приложение Б §9),Сколько это стоит и сколько займёт,Bu qancha turadi va qancha vaqt oladi,
mock.teaser.locked_toc.3,Тестовый режим ИИ — образец тизера (Приложение Б §9),Что учить в первые 90 дней,Dastlabki 90 kunda nimani oʻrganish kerak,
mock.teaser.locked_toc.4,Тестовый режим ИИ — образец тизера (Приложение Б §9),Как получить первый заказ без опыта,Tajribasiz birinchi buyurtmani qanday olish mumkin,
mock.teaser.locked_toc.5,Тестовый режим ИИ — образец тизера (Приложение Б §9),Неожиданное направление и почему оно ваше,Sizni hayron qoldiradigan yoʻnalish va nega aynan u sizga mos,
mock.teaser.locked_toc.6,Тестовый режим ИИ — образец тизера (Приложение Б §9),Что делать уже на этой неделе,Shu haftaning oʻzida nimadan boshlash kerak,
mock.report.portrait.type_label,Тестовый режим ИИ — образец полного отчёта,Исследователь-Творец,Izlanuvchan ijodkor,
mock.report.portrait.summary,Тестовый режим ИИ — образец полного отчёта,"Судя по вашей очень высокой открытости (88 %) и коду интересов IAE, вы из тех, кто сначала разбирается, как всё устроено, а потом делает по-своему. Исследовательская жилка (I) даёт вам аналитику, творческая (A) — вкус и желание создавать, а предприимчивая (E) — готовность продавать результат. Свобода и деньги для вас на первых местах, стабильность — ближе к концу: вам подходит путь, где доход растёт вместе с навыком, а не с выслугой лет. Средняя добросовестность (55 %) означает, что вы способны на сильные рывки, но длинный маршрут лучше дробить на короткие этапы с видимым результатом.","Yangilikka ochiqligingiz juda yuqori (88 %), qiziqishlar kodingiz esa IAE — yaʼni siz avval narsaning qanday ishlashini tushunib olasiz, keyin uni oʻzingizcha qilasiz. Tadqiqotchilik (I) sizga tahlil qilish qobiliyatini, ijodkorlik (A) did va yaratish istagini, tadbirkorlik (E) esa natijani sota olishni beradi. Siz uchun erkinlik va pul birinchi oʻrinda, barqarorlik esa keyinroq: daromad yillar oʻtishi bilan emas, mahoratingiz bilan birga oʻsadigan yoʻl sizga mos. Masʼuliyatlilik oʻrtacha (55 %): siz qisqa vaqtda katta kuch bilan ishlay olasiz, lekin uzoq yoʻlni natijasi koʻrinadigan qisqa bosqichlarga boʻlgan maʼqul.",
mock.report.portrait.strengths.0,Тестовый режим ИИ — образец полного отчёта,Быстро осваиваете новые инструменты и идеи,Yangi dastur va gʻoyalarni tez oʻzlashtirasiz,
mock.report.portrait.strengths.1,Тестовый режим ИИ — образец полного отчёта,"Соединяете анализ и творчество: видите и логику, и красоту решения","Tahlil va ijodni birlashtirasiz: yechimning ham mantiqini, ham chiroyini koʻrasiz",
mock.report.portrait.strengths.2,Тестовый режим ИИ — образец полного отчёта,Учитесь через практику — быстрее всего растёте на реальных задачах,Amalda oʻrganasiz — haqiqiy vazifalarda eng tez oʻsasiz,
mock.report.portrait.strengths.3,Тестовый режим ИИ — образец полного отчёта,Готовы на умеренный риск и не боитесь пробовать новое,Oʻylab tavakkal qilishga va yangi narsani sinab koʻrishga tayyorsiz,
mock.report.portrait.watchouts.0,Тестовый режим ИИ — образец полного отчёта,Интерес к новому может уводить от начатого: без коротких дедлайнов проекты рискуют остаться незаконченными,"Yangilikka qiziqish boshlangan ishdan chalgʻitishi mumkin: qisqa muddatlar qoʻymasangiz, loyihalar chala qolib ketadi",
mock.report.portrait.watchouts.1,Тестовый режим ИИ — образец полного отчёта,Экстраверсия ниже средней: разговоры с клиентами и продажи потребуют осознанной тренировки,Kirishimlilik oʻrtachadan past: mijozlar bilan gaplashish va savdolashishni ataylab mashq qilishga toʻgʻri keladi,
mock.report.portrait.watchouts.2,Тестовый режим ИИ — образец полного отчёта,Тяга к свободе иногда мешает выстроить режим — а во фрилансе режим и есть ваш начальник,Erkinlikka intilish baʼzan kun tartibini tuzishga xalaqit beradi — frilansda esa kun tartibi sizning rahbaringiz,
mock.report.goal.stated.source,Тестовый режим ИИ — образец полного отчёта,stated,stated,
mock.report.goal.stated.statement,Тестовый режим ИИ — образец полного отчёта,"Через 2 года стабильно зарабатывать на фрилансе или удалённой работе ориентировочно $1500–2000 в месяц, проектируя цифровые продукты для зарубежных и местных клиентов","2 yil ichida frilans yoki masofaviy ishda xorijiy va mahalliy mijozlar uchun raqamli mahsulotlar dizaynini qilib, oyiga taxminan $1500–2000 barqaror daromad topish",
mock.report.goal.constructed.source,Тестовый режим ИИ — образец полного отчёта,constructed,constructed,
mock.report.goal.constructed.statement,Тестовый режим ИИ — образец полного отчёта,"За 1,5–2 года стать дизайнером цифровых продуктов (UX/UI) и выйти на удалённой работе или фрилансе на доход ориентировочно $1000–2000 в месяц","1,5–2 yil ichida raqamli mahsulotlar dizayneri (UX/UI) boʻlib, masofaviy ish yoki frilansda oyiga taxminan $1000–2000 daromadga chiqish",
mock.report.goal.constructed.constructed_options.0.goal,Тестовый режим ИИ — образец полного отчёта,Дизайн цифровых продуктов (UX/UI) — рекомендуем,Raqamli mahsulotlar dizayni (UX/UI) — tavsiya qilamiz,
mock.report.goal.constructed.constructed_options.0.why_fits,Тестовый режим ИИ — образец полного отчёта,"Очень высокая открытость (88 %) и код IAE просят работы, где анализ соединяется с творчеством, а удалённый формат поддерживает вашу главную ценность — свободу.","Yangilikka juda yuqori ochiqlik (88 %) va IAE kodi tahlil bilan ijod birga keladigan ishni talab qiladi, masofadan ishlash esa eng muhim qadriyatingiz — erkinlikka mos.",
mock.report.goal.constructed.constructed_options.1.goal,Тестовый режим ИИ — образец полного отчёта,No-code разработка сайтов и приложений,Kod yozmasdan sayt va ilova yaratish,
mock.report.goal.constructed.constructed_options.1.why_fits,Тестовый режим ИИ — образец полного отчёта,"Вы учитесь через практику и любите быстро видеть результат, а предприимчивость (E) поможет продавать этот навык клиентам.","Siz qilib koʻrib oʻrganasiz va natijani tez koʻrishni yoqtirasiz, tadbirkorlik (E) esa bu mahoratni mijozlarga sotishga yordam beradi.",
mock.report.goal.constructed.constructed_options.2.goal,Тестовый режим ИИ — образец полного отчёта,Digital-маркетинг и контент,Raqamli marketing va kontent,
mock.report.goal.constructed.constructed_options.2.why_fits,Тестовый режим ИИ — образец полного отчёта,"Есть творческий интерес и тяга к влиянию, но экстраверсия ниже средней сделает этот путь чуть тяжелее остальных.","Ijodga va odamlarga taʼsir oʻtkazishga qiziqishingiz bor, lekin kirishimlilik oʻrtachadan past boʻlgani uchun bu yoʻl boshqalaridan ogʻirroq boʻlishi mumkin.",
mock.report.reality_check.stated.verdict,Тестовый режим ИИ — образец полного отчёта,ambitious,ambitious,
mock.report.reality_check.stated.explanation,Тестовый режим ИИ — образец полного отчёта,"Цель хорошо совпадает с вашим профилем: открытость, исследовательско-творческие интересы и ценность свободы — ровно то, что нужно в дизайне и во фрилансе. Амбициозна она по срокам и стартовым условиям: бюджет низкий, английский базовый, опыта заказов пока нет. За 2 года при 20 часах в неделю выйти на доход ориентировочно $1500–2000 в месяц реально, но для этого нужны портфолио из 5–7 сильных работ, английский на уровне B1–B2 и выход на зарубежные площадки. Если держать темп, шансы выше средних.","Maqsadingiz profilingizga yaxshi mos keladi: yangilikka ochiqlik, tadqiqotchi va ijodkor qiziqishlar, erkinlikni qadrlash — dizayn va frilans uchun aynan kerakli sifatlar. Maqsad muddat va boshlangʻich sharoit jihatidan katta: byudjet kam, ingliz tili boshlangʻich darajada, hali buyurtma bilan ishlamagansiz. Haftasiga 20 soatdan ishlasangiz, 2 yilda oyiga taxminan $1500–2000 ga chiqish real, lekin buning uchun 5–7 ta kuchli ishdan iborat portfolio, B1–B2 darajadagi ingliz tili va xorijiy saytlarga chiqish kerak. Surʼatni saqlasangiz, imkoniyatingiz oʻrtachadan yuqori.",
mock.report.reality_check.stated.adjustment,Тестовый режим ИИ — образец полного отчёта,"Разбейте цель на ступени: через 6 месяцев — первые платные заказы (ориентировочно $100–300 в месяц), через 12 — ориентировочно $500–800, через 24 — $1500–2000. Если к 12-му месяцу рост медленнее, это не провал: сдвиньте финальный срок на 6–12 месяцев или добавьте частичную занятость в местной студии.","Maqsadni bosqichlarga boʻling: 6 oydan keyin — birinchi pullik buyurtmalar (oyiga taxminan $100–300), 12 oydan keyin — taxminan $500–800, 24 oydan keyin — $1500–2000. Agar 12-oyga kelib oʻsish sekinroq boʻlsa, bu muvaffaqiyatsizlik emas: yakuniy muddatni 6–12 oyga suring yoki mahalliy studiyada yarim stavkada ishlashni qoʻshing.",
mock.report.reality_check.constructed.verdict,Тестовый режим ИИ — образец полного отчёта,fits,fits,
mock.report.reality_check.constructed.explanation,Тестовый режим ИИ — образец полного отчёта,"Рекомендованная цель хорошо совпадает с профилем: она опирается на ваши сильные стороны и ведёт к тому, что вы цените, — свободе и доходу. Низкий стартовый бюджет не помеха: путь можно начать с бесплатных и недорогих материалов. Главное условие — 15–20 часов регулярной практики в неделю и подъём английского.",Tavsiya qilingan maqsad profilingizga yaxshi mos: u kuchli tomonlaringizga tayanadi va siz qadrlaydigan narsalarga — erkinlik va daromadga olib boradi. Boshlangʻich byudjet kamligi toʻsiq emas: bu yoʻlni bepul va arzon manbalardan boshlash mumkin. Asosiy shart — haftasiga 15–20 soat muntazam mashq qilish va ingliz tilini koʻtarish.,
mock.report.main_path.main_path.summary,Тестовый режим ИИ — образец полного отчёта,"Вы идёте из точки «студент с интересом к дизайну и технологиям, без портфолио» в точку «самостоятельный дизайнер цифровых продуктов с зарубежными клиентами». Ядро маршрута — навыки UX/UI-дизайна и основы no-code, портфолио из реальных задач и параллельный подъём английского. Ниже — три варианта под разные вводные; их можно сочетать.","Siz «dizayn va texnologiyaga qiziqadigan, hali portfoliosi yoʻq talaba»dan «xorijiy mijozlari bor mustaqil raqamli mahsulotlar dizayneri»ga qarab yoʻl olasiz. Yoʻlning asosi — interfeys dizayni (UX/UI) va kod yozmasdan ilova yigʻish mahorati, haqiqiy vazifalardan tuzilgan portfolio va shu bilan birga ingliz tilini koʻtarish. Quyida turli sharoitlar uchun uchta yoʻl bor, ularni birga qoʻshsa ham boʻladi.",
mock.report.main_path.main_path.routes.0.type,Тестовый режим ИИ — образец полного отчёта,local_cheap,local_cheap,
mock.report.main_path.main_path.routes.0.title,Тестовый режим ИИ — образец полного отчёта,Здесь и недорого: самообучение и местные заказы,Shu yerda va arzon: mustaqil oʻqish va mahalliy buyurtmalar,
mock.report.main_path.main_path.routes.0.steps.0,Тестовый режим ИИ — образец полного отчёта,"Месяцы 1–2: бесплатные уроки по основам интерфейсов и Figma (YouTube, бесплатный режим курсов на платформах уровня Coursera) — 8–10 часов в неделю","1–2-oylar: interfeys dizayni va Figma asoslari boʻyicha bepul darslar (YouTube, Coursera kabi platformalardagi bepul kurslar) — haftasiga 8–10 soat",
mock.report.main_path.main_path.routes.0.steps.1,Тестовый режим ИИ — образец полного отчёта,"Месяцы 2–4: 3 учебных проекта на реальные задачи — редизайн сайта местного кафе, приложение для записи в салон, лендинг для учебного центра","2–4-oylar: haqiqiy vazifalar asosida 3 ta oʻquv loyihasi — mahalliy kafe saytini qayta chizish, salonga yozilish ilovasi, oʻquv markazi uchun sahifa",
mock.report.main_path.main_path.routes.0.steps.2,Тестовый режим ИИ — образец полного отчёта,Месяцы 3–6: 1–2 бесплатных или символически оплачиваемых проекта для знакомых предпринимателей — взамен отзыв и право показывать работу в портфолио,3–6-oylar: tanish tadbirkorlar uchun 1–2 ta bepul yoki arzon loyiha — evaziga fikr-mulohaza va ishni portfolioda koʻrsatish huquqi,
mock.report.main_path.main_path.routes.0.steps.3,Тестовый режим ИИ — образец полного отчёта,"Месяцы 5–8: профиль в Telegram-каналах с заказами и на фриланс-биржах, первые платные заказы","5–8-oylar: buyurtmalar chiqadigan Telegram kanallarida va frilans saytlarida profil ochish, birinchi pullik buyurtmalar",
mock.report.main_path.main_path.routes.0.steps.4,Тестовый режим ИИ — образец полного отчёта,"Всё это время: английский по 30–40 минут в день (приложения, сериалы с субтитрами, разговорный клуб)","Shu vaqt davomida: har kuni 30–40 daqiqa ingliz tili (ilovalar, subtitrli seriallar, suhbat klubi)",
mock.report.main_path.main_path.routes.0.time_estimate,Тестовый режим ИИ — образец полного отчёта,ориентировочно 6–9 месяцев до первых регулярных заказов,taxminan 6–9 oy — muntazam buyurtmalar paydo boʻlguncha,
mock.report.main_path.main_path.routes.0.cost_range,Тестовый режим ИИ — образец полного отчёта,"ориентировочно 0–500 000 сум (интернет, иногда платный шаблон или урок)","taxminan 0–500 000 soʻm (internet, baʼzan pullik shablon yoki dars)",
mock.report.main_path.main_path.routes.0.requirements.0,Тестовый режим ИИ — образец полного отчёта,"Компьютер или ноутбук, на котором работает Figma в браузере",Brauzerda Figma bilan ishlay oladigan kompyuter yoki noutbuk,
